stock_id,km,price,make,model,year,version,bluetooth,largo,ancho,altura,car_play
321064,50290,236999.0,KIA,Rio,2019,1.6 LX AUTO,Sí,4385.0,1725.0,1460.0,Sí
293172,47336,462999.0,Lincoln,Nautilus,2019,2.7 RESERVE AUTO 4WD,Sí,4826.0,1999.0,1681.0,Sí
297031,88822,254999.0,Toyota,Yaris,2019,1.5 S AUTO,Sí,4145.0,1730.0,1495.0,
322962,21000,408999.0,KIA,FORTE,2023,2.0 GT LINE IVT,Sí,4640.0,1800.0,1450.0,Sí
315931,62277,385999.0,Nissan,Murano,2019,3.5 EXCLUSIVE AUTO 4WD,Sí,4888.0,1916.0,1691.0,Sí
275105,102137,400999.0,BMW,X3,2019,2.0 SDRIVE20IA EXECUTIVE AUTO,Sí,4708.0,1891.0,1676.0,
264157,71677,280999.0,Ford,Escape,2019,2.5 S PLUS AUTO,Sí,4524.0,1905.0,1684.0,Sí
323431,95136,215999.0,Mazda,Mazda 3,2015,2.5 HATCHBACK S GT TA,Sí,4460.0,2053.0,1465.0,
173675,100618,222999.0,Volkswagen,Jetta,2018,2.5 TRENDLINE MT,Sí,4652.0,1778.0,1453.0,
324988,108857,408999.0,Mazda,CX-9,2018,2.5 TURBO I GRAND TOURING 4WD AT,Sí,5075.0,1961.0,1747.0,
323540,52131,249999.0,KIA,Rio,2019,1.6 LX AUTO,Sí,4065.0,1725.0,1460.0,Sí
299048,64638,192999.0,Honda,Civic,2013,1.8 EX-L AT 4DRS,Sí,4555.0,1755.0,1450.0,
238713,93481,371999.0,Mercedes Benz,Clase A,2018,1.6 A 200 STYLE DCT,Sí,4299.0,1780.0,1433.0,Sí
323511,44000,281999.0,Mazda,Mazda 3,2018,2.5 HATCHBACK I TOURING TA,Sí,4470.0,2053.0,1450.0,
278247,15555,301999.0,Chevrolet,Tracker,2021,1.2 LS A,Sí,4270.0,1791.0,1606.0,Sí
301051,9700,425999.0,MG,Hs,2023,2.0 TROPHY DCT AWD,Sí,4574.0,1876.0,1685.0,Sí
291733,76800,142999.0,Chevrolet,Spark,2017,1.4 LT B MT,,3636.0,1595.0,1476.0,
249234,106148,158999.0,Chevrolet,Sonic,2016,1.6 AT F LTZ,Sí,4397.0,1735.0,1516.0,
312395,68601,184999.0,Nissan,March,2018,1.6 ADVANCE AUTO,Sí,3827.0,1665.0,1532.0,
312204,39492,331999.0,KIA,FORTE,2020,1.6 GT DCT,Sí,4640.0,1800.0,1450.0,Sí
321279,45110,212999.0,Chevrolet,Spark,2021,1.4 ACTIV D,Sí,3671.0,1632.0,1494.0,Sí
176276,34511,304999.0,Chevrolet,Trax,2020,1.8 LT B AUTO,Sí,4247.0,1775.0,1656.0,Sí
317264,100072,265999.0,KIA,Sportage,2018,2.0 LX AUTO,Sí,4480.0,1855.0,1645.0,Sí
282292,95425,151999.0,Chevrolet,Aveo,2016,1.6 C AT,Sí,4315.0,1709.0,1506.0,
182254,30902,213999.0,Fiat,Uno,2020,1.4 SPORTING PANTALLA,Sí,3811.0,1673.0,1555.0,Sí
323937,44107,432999.0,Mercedes Benz,Clase CLA,2019,1.6 CLA 200 SPORT DCT,Sí,4630.0,1777.0,1432.0,Sí
225553,80482,384999.0,Land Rover,Discovery Sport,2017,2.0 HSE AUTO 4WD,Sí,4599.0,2069.0,1724.0,
323994,19000,247999.0,KIA,Rio,2020,1.6 L,Sí,4385.0,1725.0,1460.0,
291054,119157,138999.0,Chevrolet,Aveo,2017,1.6 Y AT,Sí,4315.0,1709.0,1506.0,
244286,87067,380999.0,Renault,Koleos,2020,2.5 ICONIC CVT,Sí,4672.0,1843.0,1678.0,Sí
229003,103561,218999.0,Nissan,Pathfinder,2015,3.5 EXCLUSIVE AT,Sí,5000.0,1960.0,1768.0,
122762,30700,752999.0,BMW,Serie 7,2016,4.4 750I A EXCELLENCE,Sí,5098.0,1902.0,1478.0,
226604,50333,211999.0,Renault,Duster,2018,2.0 INTENS,Sí,4315.0,1822.0,1690.0,
316168,18410,298999.0,Suzuki,Swift,2023,1.0 BOOSTERJET,Sí,3840.0,1735.0,1495.0,Sí
302701,52000,232999.0,Audi,A1,2015,1.4 TFSI COOL S TRONIC,Sí,3954.0,1740.0,1416.0,
323666,43421,231999.0,Peugeot,208,2020,1.2 ALLURE PURETECH,Sí,3973.0,1739.0,1460.0,Sí
322722,45837,265999.0,Nissan,Versa,2020,1.6 ADVANCE CVT,Sí,4495.0,1740.0,1465.0,Sí
199999,79926,295999.0,Mazda,Mazda 3,2018,2.5 SEDAN S GRAND TOURING TA,Sí,4580.0,2053.0,1450.0,
311720,106104,183999.0,Nissan,Sentra,2015,1.8 EXCLUSIVE NAVI CVT,Sí,4625.0,1760.0,1505.0,
230836,50249,438999.0,Volkswagen,Tiguan,2018,1.4 R-LINE DCT,Sí,4701.0,1839.0,1658.0,Sí
243765,40269,302999.0,Renault,Captur,2020,2.0 ICONIC DEH AUTO,Sí,4310.0,1796.0,1622.0,
173312,69630,220999.0,Nissan,Versa,2018,1.6 EXCLUSIVE AUTO,Sí,4492.0,1695.0,1509.0,
118392,74700,882999.0,Mercedes Benz,Clase C,2017,4.0 MERCEDES-AMG C 63 S AT,Sí,4686.0,1810.0,1405.0,Sí
310313,90061,282999.0,Volvo,S60,2018,2.0 ADDITION T4 AUTO,Sí,4635.0,1865.0,1484.0,
324705,33420,413999.0,Honda,HR-V,2022,1.8 TOURING CVT,Sí,4359.0,,1605.0,Sí
242862,83100,314999.0,Honda,Odyssey,2015,3.5 EX AT,Sí,5180.0,2010.0,1735.0,
301419,24130,834999.0,Dodge,Durango,2021,5.7 RT AUTO,Sí,5110.0,1924.0,1827.0,Sí
323039,67004,286999.0,Honda,CR-V,2016,2.4 I-STYLE,Sí,4575.0,1820.0,1655.0,
317780,20270,407999.0,Nissan,X-Trail,2021,2.5 SENSE 2 ROW CVT,Sí,4690.0,1820.0,,Sí
303734,91224,183999.0,KIA,Rio,2017,1.6 EX MT,Sí,4050.0,1720.0,1455.0,
315437,26000,223999.0,JAC,SEI2,2019,1.5 QUANTUM,Sí,4135.0,1750.0,1550.0,
319698,97000,168999.0,Seat,Toledo,2016,1.6 ENTRY MT,,4482.0,1706.0,1461.0,
315497,52810,252999.0,Nissan,Altima,2018,2.5 SENSE AUTO,Sí,4874.0,1830.0,1488.0,
179859,98570,375999.0,Toyota,RAV4,2018,2.5 LIMITED AWD AT,Sí,4600.0,1845.0,1705.0,
181736,119813,464999.0,BMW,X5,2016,4.4 XDRIVE50IA EXCELLENCE AT 4WD,Sí,4886.0,1938.0,1762.0,
322733,73414,232999.0,Seat,Ibiza,2018,1.6 XCELLENCE AUTO,Sí,4059.0,1780.0,1444.0,Sí
